PASS
ok  	github.com/blinklabs-io/plutigo/builtin	0.016s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/cek
BenchmarkEnvLookupDepth/depth=1-128  	1000000000	         4.347 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=1-128  	1000000000	         4.453 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=1-128  	1000000000	         4.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=1-128  	1000000000	         4.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=1-128  	1000000000	         4.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=1-128  	1000000000	         4.454 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=4-128  	1000000000	         5.079 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=4-128  	1000000000	         5.077 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=4-128  	1000000000	         5.063 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=4-128  	1000000000	         5.078 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=4-128  	1000000000	         5.079 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=4-128  	1000000000	         5.078 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=8-128  	841743681	         6.636 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=8-128  	844355515	         6.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=8-128  	843134530	         6.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=8-128  	842243406	         6.632 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=8-128  	841031536	         6.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=8-128  	842536815	         6.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=16-128 	586917847	         9.848 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=16-128 	587665488	         9.749 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=16-128 	587550415	         9.749 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=16-128 	588615276	         9.749 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=16-128 	588217125	         9.747 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=16-128 	587454666	         9.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=32-128 	323941010	        18.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=32-128 	324505791	        18.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=32-128 	323864017	        18.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=32-128 	323668740	        18.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=32-128 	323926404	        18.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=32-128 	323958810	        18.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=64-128 	149586418	        39.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=64-128 	149449041	        39.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=64-128 	149356262	        39.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=64-128 	149473716	        39.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=64-128 	149341647	        39.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkEnvLookupDepth/depth=64-128 	149512773	        39.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkMachineLambdaChain/depth=4-128         	 3051800	      1982 ns/op	      88 B/op	       4 allocs/op
